id;serial_no;vendor_article_id;purchase_date;puchase_price;purchase_store;invoice_path;is_validated;validated_by;validated_time;createdd_by;created_time;updated_by;updated_time
1;horse;roughly merrily hm;2025-03-10;23176.48;youthfully experience;fictionalize sleepily;false;unless;2025-03-11T10:11:21;psst gee fervently;2025-03-10T20:24:58;past ski;2025-03-11T08:02:29
2;loudly thankfully except;jet besides cruel;2025-03-11;5862.59;like toward miserably;failing;true;colon;2025-03-10T21:34:36;drat gah;2025-03-10T19:27:25;sans brr begonia;2025-03-11T06:32:13
3;populist;boohoo gah jazz;2025-03-10;25591.62;malfunction pish;innocently instead;true;only commercial;2025-03-11T08:15:45;rarely gee;2025-03-10T20:38:04;couch gee;2025-03-11T11:14:48
4;while beneath;amid aw huge;2025-03-11;20304.69;overburden uh-huh;never judgementally penalise;true;furthermore aw;2025-03-11T02:44:39;fatally;2025-03-11T00:12:20;pro;2025-03-11T12:27:05
5;staid squirm;which testify;2025-03-11;21910.7;with reassuringly scamper;phew;true;illiterate;2025-03-11T05:16:02;times for;2025-03-11T12:15:27;huzzah sorrowful inquisitively;2025-03-11T00:42:14
6;gah and but;mid beside roasted;2025-03-11;24856.06;bleakly perfumed fedora;promptly;true;gee what;2025-03-10T18:32:48;pip incidentally;2025-03-10T19:21:06;keel next;2025-03-11T16:09:39
7;pish off;superior;2025-03-11;4994.73;accomplished gripping yowza;circa highly;true;charming psst despite;2025-03-10T22:41:54;sandbar massage;2025-03-11T02:45:27;grave unlike;2025-03-11T12:42:41
8;upwardly lest opposite;ugh near likewise;2025-03-11;24381.88;writhing accompany;mmm relaunch;false;jovially;2025-03-11T12:34:57;worth;2025-03-11T14:36:57;fond unless density;2025-03-11T00:03:06
9;upright;lest always whenever;2025-03-10;27644.29;once elementary;quickly contrast;false;unabashedly whether;2025-03-11T02:50:06;ouch;2025-03-11T07:34:04;tremendously more schlep;2025-03-11T14:34:05
10;than toward;boo hospitable;2025-03-11;24460.87;duh outside;that absolve;false;scared showboat yesterday;2025-03-10T22:53:40;cautious;2025-03-11T02:36:05;bah shameful;2025-03-11T09:44:18
