id;name;vendor_warranty_master_id;warranty_type;description;price;tax;franchise_commission;franchise_tax;period_in_months;tax_rate;coverage;exclusion;is_active;createdd_by;created_time;updated_by;updated_time
1;instead that even;on typewriter;OTHER;alongside;216.56;25721.24;15477.06;3787.76;12246;2073.61;shovel abandoned;reprimand briskly;false;recovery however;2025-03-10T20:26:48;certainly phew;2025-03-11T07:09:45
2;unlike reapply frightfully;hence intently label;OTHER;concrete circa;1941.46;4125.99;22204.63;22642.27;26416;676.05;outdo;legging;true;bare um badly;2025-03-10T21:53:59;lest;2025-03-10T23:34:17
3;filter polished;phooey and;EXTENDEDPAIDWARRANTY;funny hexagon;125.04;12835.03;18671.58;16388.15;20815;2512.01;satirize kiss silent;ugh;true;absent anti;2025-03-11T12:12:35;swing unlike;2025-03-11T16:41:58
4;familiarize than;safely before underneath;OTHER;yak;11037.44;5636.37;21478.4;152.15;8841;15438.98;offensively gut;but atop;false;tidy sardonic;2025-03-11T06:44:00;through;2025-03-11T05:10:43
5;fast;finally;EXTENDEDPAIDWARRANTY;egg yuck;13380.98;23342.2;7400.79;26853.19;1224;19721.87;since;phony;false;meh atop;2025-03-10T18:50:58;ack from;2025-03-11T11:44:14
6;coaxingly monthly;woot;BRANDFREEWARRANTY;meanwhile fervently;16362.22;11723.73;14765.06;17775.77;7562;11166.91;axe towards;claw woot rightfully;false;hmph;2025-03-11T13:10:41;deafening;2025-03-11T01:33:21
7;sizzle;confiscate minus;EXTENDEDPAIDWARRANTY;which minus;2951.16;11555.22;31653.37;12748.14;480;23308.89;prestigious finally;obligation;false;after;2025-03-11T12:43:46;deliquesce meatloaf yum;2025-03-10T22:49:21
8;inside;whenever pace;OTHER;cripple;27660.08;5694.3;16647.63;4734.02;4177;10653.51;behind what whoever;awful edge provider;true;whirlwind daily going;2025-03-11T10:11:36;geez instruction suspiciously;2025-03-11T16:25:32
9;controvert how so;spring;OTHER;unique past;5669.95;22645.82;26590.1;1925.47;11404;26016.13;amongst keenly;yearningly;false;bench salty mortise;2025-03-11T02:14:17;vainly among fondly;2025-03-11T08:48:19
10;comparison yogurt;minus supposing;EXTENDEDPAIDWARRANTY;bare yawningly;10796.57;15502.78;16748.53;16022.44;18755;7042.34;firm;seemingly;false;tank;2025-03-11T09:19:32;whereas than wisely;2025-03-11T00:08:04
